;Belgium;Bulgaria;Spain;Greece;Croatia;Italy;Netherlands;Poland;Portugal;Slovakia
Belgium;0;1.291.837.989;17.447.802.238;2.584.856.438;695.684.113;25.067.943.051;67.110.312.825;14.434.345.608;3.449.619.853;1.670.063.639
Bulgaria;933.774.787;0;835.204.777;2.634.916.703;509.572.004;2.994.720.295;765.505.813;1.107.530.819;127.000.355;450.515.854
Spain;12.546.808.428;1.068.241.579;0;3.497.368.441;965.658.403;34.305.922.222;14.316.860.017;10.105.093.000;33.710.689.937;2.068.660.342
Greece;693.847.338;2.945.168.870;1.571.710.447;0;392.353.763;5.284.625.842;1.176.408.445;1.158.904.705;324.089.418;253.809.811
Croatia;270.499.196;192.384.458;417.826.709;161.714.660;0;2.742.233.541;404.518.173;523.451.139;89.455.041;572.567.532
Italy;19.195.391.577;3.333.694.027;34.497.083.749;7.256.839.205;5.583.744.542;0;19.231.922.342;19.655.253.147;5.666.271.620;3.815.275.535
Netherlands;98.262.785.212;2.170.625.642;30.699.423.106;4.642.242.446;1.649.959.082;36.448.539.251;0;27.333.454.300;6.593.390.221;2.871.117.428
Poland;7.868.237.705;2.209.694.950;10.070.222.550;1.826.497.845;1.676.460.958;16.223.476.286;16.353.922.695;0;1.908.863.526;9.457.129.093
Portugal;2.020.888.584;134.386.908;20.455.960.548;253.574.927;77.445.554;3.570.319.777;2.834.154.085;1.202.252.637;0;470.442.312
Slovakia;1.415.293.433;833.870.801;2.427.334.413;308.779.079;979.493.068;4.632.683.073;2.073.395.520;8.125.912.284;331.754.183;0
